user_id,cluster,segment
R01357,3,Loyal Riders
R01358,2,At-Risk
R01359,0,Champions
R01360,2,At-Risk
R01361,3,Loyal Riders
R01362,1,Dormant
R01363,0,Champions
R01364,0,Champions
R01365,0,Champions
R01367,2,At-Risk
R01368,1,Dormant
R01369,3,Loyal Riders
R01370,2,At-Risk
R01371,2,At-Risk
R01372,0,Champions
R01373,1,Dormant
R01374,2,At-Risk
R01375,0,Champions
R01376,0,Champions
R01377,3,Loyal Riders
R01378,2,At-Risk
R01379,2,At-Risk
R01381,2,At-Risk
R01382,0,Champions
R01383,3,Loyal Riders
R01384,2,At-Risk
R01385,2,At-Risk
R01386,0,Champions
R01387,2,At-Risk
R01388,2,At-Risk
R01389,0,Champions
R01391,0,Champions
R01392,1,Dormant
R01393,0,Champions
R01394,0,Champions
R01395,2,At-Risk
R01396,2,At-Risk
R01397,1,Dormant
R01398,1,Dormant
R01399,2,At-Risk
R01400,1,Dormant
R01401,0,Champions
R01402,1,Dormant
R01403,2,At-Risk
R01404,2,At-Risk
R01405,1,Dormant
R01406,0,Champions
R01407,3,Loyal Riders
R01408,2,At-Risk
R01409,1,Dormant
R01410,2,At-Risk
R01411,0,Champions
R01412,0,Champions
R01414,2,At-Risk
R01415,1,Dormant
R01416,2,At-Risk
R01417,0,Champions
R01418,0,Champions
R01419,2,At-Risk
R01420,2,At-Risk
R01421,3,Loyal Riders
R01423,2,At-Risk
R01424,0,Champions
R01425,0,Champions
R01426,2,At-Risk
R01427,0,Champions
R01428,0,Champions
R01429,1,Dormant
R01430,1,Dormant
R01431,0,Champions
R01432,2,At-Risk
R01433,3,Loyal Riders
R01434,0,Champions
R01435,2,At-Risk
R01436,0,Champions
R01437,0,Champions
R01438,1,Dormant
R01439,2,At-Risk
R01440,2,At-Risk
R01441,2,At-Risk
R01442,2,At-Risk
R01443,0,Champions
R01444,1,Dormant
R01446,3,Loyal Riders
R01447,3,Loyal Riders
R01448,0,Champions
R01449,1,Dormant
R01450,2,At-Risk
R01451,0,Champions
R01452,2,At-Risk
R01453,0,Champions
R01454,0,Champions
R01455,2,At-Risk
R01456,2,At-Risk
R01457,2,At-Risk
R01458,2,At-Risk
R01459,2,At-Risk
R01460,2,At-Risk
R01462,0,Champions
R01463,3,Loyal Riders
R01465,3,Loyal Riders
R01466,1,Dormant
R01467,3,Loyal Riders
R01468,0,Champions
R01469,0,Champions
R01470,0,Champions
R01471,1,Dormant
R01472,0,Champions
R01473,0,Champions
R01474,2,At-Risk
R01476,2,At-Risk
R01477,2,At-Risk
R01478,2,At-Risk
R01479,0,Champions
R01480,0,Champions
R01481,1,Dormant
R01482,1,Dormant
R01484,0,Champions
R01485,0,Champions
R01486,0,Champions
R01487,0,Champions
R01488,2,At-Risk
R01489,1,Dormant
R01490,2,At-Risk
R01491,1,Dormant
R01492,2,At-Risk
R01493,2,At-Risk
R01494,0,Champions
R01495,3,Loyal Riders
R01496,0,Champions
R01497,0,Champions
R01498,0,Champions
R01499,2,At-Risk
R01500,1,Dormant
R01502,2,At-Risk
R01503,2,At-Risk
R01504,2,At-Risk
R01505,2,At-Risk
R01506,2,At-Risk
R01507,0,Champions
R01508,2,At-Risk
R01509,0,Champions
R01510,0,Champions
R01511,2,At-Risk
R01513,2,At-Risk
R01514,0,Champions
R01515,2,At-Risk
R01516,0,Champions
R01517,1,Dormant
R01518,0,Champions
R01519,0,Champions
R01520,2,At-Risk
R01522,0,Champions
R01523,0,Champions
R01524,2,At-Risk
R01525,2,At-Risk
R01526,2,At-Risk
R01527,2,At-Risk
R01528,1,Dormant
R01529,0,Champions
R01530,1,Dormant
R01531,2,At-Risk
R01532,1,Dormant
R01533,0,Champions
R01534,0,Champions
R01535,1,Dormant
R01536,1,Dormant
R01537,2,At-Risk
R01539,2,At-Risk
R01540,0,Champions
R01541,2,At-Risk
R01542,1,Dormant
R01543,0,Champions
R01544,2,At-Risk
R01545,1,Dormant
R01546,1,Dormant
R01547,1,Dormant
R01548,2,At-Risk
R01549,0,Champions
R01551,2,At-Risk
R01552,1,Dormant
R01555,0,Champions
R01556,3,Loyal Riders
R01557,2,At-Risk
R01558,2,At-Risk
R01559,3,Loyal Riders
R01560,1,Dormant
R01561,1,Dormant
R01562,3,Loyal Riders
R01565,2,At-Risk
R01566,1,Dormant
R01567,2,At-Risk
R01568,1,Dormant
R01569,1,Dormant
R01570,1,Dormant
R01571,1,Dormant
R01572,1,Dormant
R01573,0,Champions
R01574,2,At-Risk
R01575,0,Champions
R01576,2,At-Risk
R01577,0,Champions
R01578,2,At-Risk
R01579,0,Champions
R01580,2,At-Risk
R01581,2,At-Risk
R01582,2,At-Risk
R01583,1,Dormant
R01584,0,Champions
R01585,0,Champions
R01586,2,At-Risk
R01588,0,Champions
R01589,3,Loyal Riders
R01590,1,Dormant
R01591,1,Dormant
R01592,0,Champions
R01593,0,Champions
R01594,1,Dormant
R01595,2,At-Risk
R01596,0,Champions
R01597,3,Loyal Riders
R01598,0,Champions
R01599,0,Champions
R01600,2,At-Risk
R01601,2,At-Risk
R01602,0,Champions
R01603,2,At-Risk
R01604,2,At-Risk
R01605,1,Dormant
R01606,0,Champions
R01607,0,Champions
R01608,3,Loyal Riders
R01609,0,Champions
R01611,0,Champions
R01612,0,Champions
R01613,1,Dormant
R01614,2,At-Risk
R01615,0,Champions
R01616,1,Dormant
R01617,1,Dormant
R01618,0,Champions
R01619,2,At-Risk
R01620,0,Champions
R01621,1,Dormant
R01622,2,At-Risk
R01623,1,Dormant
R01625,0,Champions
R01626,2,At-Risk
R01627,1,Dormant
R01628,2,At-Risk
R01629,2,At-Risk
R01630,1,Dormant
R01631,2,At-Risk
R01632,1,Dormant
R01633,2,At-Risk
R01634,2,At-Risk
R01637,2,At-Risk
R01638,2,At-Risk
R01639,1,Dormant
R01640,0,Champions
R01641,0,Champions
R01643,2,At-Risk
R01644,0,Champions
R01645,1,Dormant
R01646,0,Champions
R01647,2,At-Risk
R01648,0,Champions
R01649,0,Champions
R01650,2,At-Risk
R01651,0,Champions
R01653,1,Dormant
R01654,0,Champions
R01655,3,Loyal Riders
R01656,2,At-Risk
R01657,2,At-Risk
R01658,1,Dormant
R01659,2,At-Risk
R01660,0,Champions
R01661,2,At-Risk
R01662,0,Champions
R01663,2,At-Risk
R01664,0,Champions
R01665,2,At-Risk
R01666,2,At-Risk
R01667,2,At-Risk
R01668,2,At-Risk
R01669,2,At-Risk
R01670,0,Champions
R01671,2,At-Risk
R01672,2,At-Risk
R01673,2,At-Risk
R01674,0,Champions
R01676,2,At-Risk
R01677,1,Dormant
R01678,2,At-Risk
R01679,0,Champions
R01680,2,At-Risk
R01681,2,At-Risk
R01682,1,Dormant
R01683,0,Champions
R01685,2,At-Risk
R01686,0,Champions
R01687,2,At-Risk
R01688,0,Champions
R01689,0,Champions
R01690,3,Loyal Riders
R01691,0,Champions
R01692,3,Loyal Riders
R01693,2,At-Risk
R01694,3,Loyal Riders
R01695,2,At-Risk
R01698,2,At-Risk
R01699,0,Champions
R01700,2,At-Risk
R01701,1,Dormant
R01702,1,Dormant
R01703,1,Dormant
R01704,1,Dormant
R01705,2,At-Risk
R01706,0,Champions
R01707,3,Loyal Riders
R01708,2,At-Risk
R01709,1,Dormant
R01710,1,Dormant
R01711,2,At-Risk
R01712,2,At-Risk
R01713,2,At-Risk
R01714,0,Champions
R01715,1,Dormant
R01717,1,Dormant
R01718,3,Loyal Riders
R01719,1,Dormant
R01720,2,At-Risk
R01721,0,Champions
R01722,0,Champions
R01723,1,Dormant
R01724,0,Champions
R01725,2,At-Risk
R01726,0,Champions
R01727,0,Champions
R01728,2,At-Risk
R01729,2,At-Risk
R01730,1,Dormant
R01731,0,Champions
R01732,0,Champions
R01733,0,Champions
R01734,0,Champions
R01735,2,At-Risk
R01736,2,At-Risk
R01737,2,At-Risk
R01738,0,Champions
R01739,0,Champions
R01740,2,At-Risk
R01741,2,At-Risk
R01742,3,Loyal Riders
R01743,0,Champions
R01744,2,At-Risk
R01745,1,Dormant
R01746,0,Champions
R01747,2,At-Risk
R01748,2,At-Risk
R01749,3,Loyal Riders
R01750,3,Loyal Riders
R01751,0,Champions
R01752,2,At-Risk
R01753,2,At-Risk
R01754,0,Champions
R01755,2,At-Risk
R01756,2,At-Risk
R01757,1,Dormant
R01758,2,At-Risk
R01759,3,Loyal Riders
R01760,0,Champions
R01762,1,Dormant
R01763,0,Champions
R01764,0,Champions
R01766,3,Loyal Riders
R01768,0,Champions
R01769,2,At-Risk
R01770,2,At-Risk
R01771,2,At-Risk
R01772,1,Dormant
R01773,2,At-Risk
R01774,0,Champions
R01775,0,Champions
R01776,2,At-Risk
R01777,3,Loyal Riders
R01778,0,Champions
R01779,0,Champions
R01780,1,Dormant
R01781,0,Champions
R01782,1,Dormant
R01783,0,Champions
R01784,1,Dormant
R01785,1,Dormant
R01786,0,Champions
R01787,0,Champions
R01788,0,Champions
R01789,2,At-Risk
R01790,0,Champions
R01791,0,Champions
R01792,1,Dormant
R01793,0,Champions
R01794,1,Dormant
R01796,0,Champions
R01797,2,At-Risk
R01798,1,Dormant
R01799,0,Champions
R01800,0,Champions
R01801,0,Champions
R01802,2,At-Risk
R01803,0,Champions
R01804,1,Dormant
R01805,0,Champions
R01806,2,At-Risk
R01807,0,Champions
R01808,2,At-Risk
R01809,2,At-Risk
R01810,3,Loyal Riders
R01811,0,Champions
R01812,0,Champions
R01813,0,Champions
R01814,1,Dormant
R01815,1,Dormant
R01816,3,Loyal Riders
R01817,0,Champions
R01818,2,At-Risk
R01819,0,Champions
R01820,2,At-Risk
R01821,3,Loyal Riders
R01822,1,Dormant
R01823,0,Champions
R01824,2,At-Risk
R01825,2,At-Risk
R01826,1,Dormant
R01828,2,At-Risk
R01829,1,Dormant
R01831,2,At-Risk
R01832,2,At-Risk
R01833,0,Champions
R01834,0,Champions
R01835,1,Dormant
R01836,3,Loyal Riders
R01837,0,Champions
R01838,1,Dormant
R01839,0,Champions
R01840,0,Champions
R01841,0,Champions
R01842,0,Champions
R01843,3,Loyal Riders
R01844,1,Dormant
R01846,3,Loyal Riders
R01847,0,Champions
R01848,3,Loyal Riders
R01849,2,At-Risk
R01850,1,Dormant
R01851,0,Champions
R01852,3,Loyal Riders
R01853,2,At-Risk
R01854,1,Dormant
R01855,1,Dormant
R01856,2,At-Risk
R01857,1,Dormant
R01858,1,Dormant
R01859,1,Dormant
R01860,0,Champions
R01861,2,At-Risk
R01862,0,Champions
R01863,2,At-Risk
R01864,2,At-Risk
R01865,2,At-Risk
R01866,1,Dormant
R01867,1,Dormant
R01868,0,Champions
R01870,2,At-Risk
R01871,2,At-Risk
R01872,0,Champions
R01874,0,Champions
R01875,2,At-Risk
R01876,2,At-Risk
R01877,1,Dormant
R01878,1,Dormant
R01879,0,Champions
R01880,0,Champions
R01881,0,Champions
R01882,2,At-Risk
R01883,2,At-Risk
R01884,2,At-Risk
R01885,3,Loyal Riders
R01886,0,Champions
R01887,2,At-Risk
R01888,2,At-Risk
R01889,1,Dormant
R01891,2,At-Risk
R01892,1,Dormant
R01893,3,Loyal Riders
R01895,0,Champions
R01896,0,Champions
R01897,0,Champions
R01899,2,At-Risk
R01900,3,Loyal Riders
R01901,1,Dormant
R01902,1,Dormant
R01903,2,At-Risk
R01904,0,Champions
R01905,0,Champions
R01906,0,Champions
R01907,0,Champions
R01908,2,At-Risk
R01909,2,At-Risk
R01910,1,Dormant
R01911,2,At-Risk
R01912,2,At-Risk
R01913,1,Dormant
R01914,0,Champions
R01915,0,Champions
R01916,1,Dormant
R01917,1,Dormant
R01918,0,Champions
R01919,0,Champions
R01920,0,Champions
R01921,2,At-Risk
R01922,2,At-Risk
R01923,0,Champions
R01924,2,At-Risk
R01925,1,Dormant
R01926,2,At-Risk
R01927,2,At-Risk
R01929,0,Champions
R01930,0,Champions
R01932,3,Loyal Riders
R01933,2,At-Risk
R01934,2,At-Risk
R01935,0,Champions
R01936,0,Champions
R01937,2,At-Risk
R01938,1,Dormant
R01939,2,At-Risk
R01940,0,Champions
R01941,2,At-Risk
R01942,2,At-Risk
R01943,2,At-Risk
R01944,0,Champions
R01945,0,Champions
R01946,0,Champions
R01947,0,Champions
R01948,1,Dormant
R01949,0,Champions
R01950,0,Champions
R01951,2,At-Risk
R01952,2,At-Risk
R01953,0,Champions
R01954,2,At-Risk
R01955,0,Champions
R01956,1,Dormant
R01957,0,Champions
R01958,2,At-Risk
R01959,0,Champions
R01960,0,Champions
R01961,1,Dormant
R01962,0,Champions
R01963,0,Champions
R01964,3,Loyal Riders
R01965,1,Dormant
R01966,1,Dormant
R01967,0,Champions
R01968,3,Loyal Riders
R01970,2,At-Risk
R01971,0,Champions
R01973,1,Dormant
R01974,1,Dormant
R01975,1,Dormant
R01976,0,Champions
R01977,0,Champions
R01978,0,Champions
R01979,0,Champions
R01980,0,Champions
R01981,1,Dormant
R01982,2,At-Risk
R01983,0,Champions
R01984,2,At-Risk
R01985,0,Champions
R01986,1,Dormant
R01987,2,At-Risk
R01988,0,Champions
R01989,1,Dormant
R01990,1,Dormant
R01991,3,Loyal Riders
R01992,0,Champions
R01993,0,Champions
R01994,2,At-Risk
R01995,2,At-Risk
R01996,2,At-Risk
R01997,1,Dormant
R01998,2,At-Risk
R01999,2,At-Risk
R02000,2,At-Risk
R02001,1,Dormant
R02002,2,At-Risk
R02004,1,Dormant
R02005,1,Dormant
R02006,0,Champions
R02007,1,Dormant
R02008,2,At-Risk
R02009,1,Dormant
R02010,0,Champions
R02011,2,At-Risk
R02012,2,At-Risk
R02013,0,Champions
R02014,2,At-Risk
R02015,2,At-Risk
R02016,3,Loyal Riders
R02017,3,Loyal Riders
R02018,0,Champions
R02019,2,At-Risk
R02020,2,At-Risk
R02021,1,Dormant
R02022,1,Dormant
R02023,0,Champions
R02024,1,Dormant
R02025,3,Loyal Riders
R02027,2,At-Risk
R02028,2,At-Risk
R02029,2,At-Risk
R02031,0,Champions
R02032,2,At-Risk
R02033,2,At-Risk
R02034,0,Champions
R02035,0,Champions
R02036,1,Dormant
R02037,0,Champions
R02038,2,At-Risk
R02039,3,Loyal Riders
R02040,0,Champions
R02041,1,Dormant
R02042,2,At-Risk
R02043,0,Champions
R02044,2,At-Risk
R02045,2,At-Risk
R02046,1,Dormant
R02048,1,Dormant
R02049,0,Champions
R02050,1,Dormant
R02051,0,Champions
R02052,0,Champions
R02053,2,At-Risk
R02054,1,Dormant
R02055,1,Dormant
R02056,1,Dormant
R02057,0,Champions
R02058,1,Dormant
R02059,1,Dormant
R02060,2,At-Risk
R02061,0,Champions
R02062,0,Champions
R02063,2,At-Risk
R02064,1,Dormant
R02065,2,At-Risk
R02066,3,Loyal Riders
R02067,1,Dormant
R02069,2,At-Risk
R02070,0,Champions
R02071,0,Champions
R02072,0,Champions
R02073,1,Dormant
R02074,0,Champions
R02075,0,Champions
R02076,2,At-Risk
R02077,2,At-Risk
R02079,1,Dormant
R02080,3,Loyal Riders
R02081,0,Champions
R02082,2,At-Risk
R02083,2,At-Risk
R02084,1,Dormant
R02085,2,At-Risk
R02086,1,Dormant
R02087,2,At-Risk
R02088,2,At-Risk
R02089,0,Champions
R02090,2,At-Risk
R02092,0,Champions
R02093,2,At-Risk
R02094,2,At-Risk
R02095,2,At-Risk
R02096,2,At-Risk
R02097,0,Champions
R02098,0,Champions
R02099,3,Loyal Riders
R02100,1,Dormant
R02101,1,Dormant
R02102,0,Champions
R02103,0,Champions
R02104,2,At-Risk
R02105,0,Champions
R02106,0,Champions
R02107,2,At-Risk
R02108,2,At-Risk
R02109,2,At-Risk
R02110,1,Dormant
R02111,0,Champions
R02112,2,At-Risk
R02113,1,Dormant
R02114,2,At-Risk
R02115,1,Dormant
R02116,2,At-Risk
R02117,0,Champions
R02118,1,Dormant
R02119,2,At-Risk
R02120,2,At-Risk
R02121,3,Loyal Riders
R02122,2,At-Risk
R02123,2,At-Risk
R02124,0,Champions
R02125,0,Champions
R02126,2,At-Risk
R02127,1,Dormant
R02128,0,Champions
R02129,0,Champions
R02130,0,Champions
R02131,3,Loyal Riders
R02132,0,Champions
R02133,2,At-Risk
R02135,2,At-Risk
R02136,0,Champions
R02137,0,Champions
R02138,2,At-Risk
R02139,2,At-Risk
R02140,2,At-Risk
R02141,1,Dormant
R02142,0,Champions
R02143,2,At-Risk
R02144,0,Champions
R02145,2,At-Risk
R02146,0,Champions
R02147,0,Champions
R02148,0,Champions
R02149,2,At-Risk
R02150,2,At-Risk
R02151,2,At-Risk
R02152,0,Champions
R02153,2,At-Risk
R02154,0,Champions
R02155,2,At-Risk
R02156,1,Dormant
R02157,1,Dormant
R02158,1,Dormant
R02159,0,Champions
R02160,2,At-Risk
R02161,2,At-Risk
R02162,2,At-Risk
R02163,2,At-Risk
R02164,1,Dormant
R02165,0,Champions
R02166,1,Dormant
R02167,2,At-Risk
R02168,2,At-Risk
R02169,0,Champions
R02171,3,Loyal Riders
R02172,3,Loyal Riders
R02173,2,At-Risk
R02174,0,Champions
R02175,0,Champions
R02176,2,At-Risk
R02179,2,At-Risk
R02180,0,Champions
R02181,0,Champions
R02182,0,Champions
R02183,2,At-Risk
R02184,1,Dormant
R02185,2,At-Risk
R02186,2,At-Risk
R02187,2,At-Risk
R02188,2,At-Risk
R02189,2,At-Risk
R02190,2,At-Risk
R02191,2,At-Risk
R02192,3,Loyal Riders
R02193,0,Champions
R02194,2,At-Risk
R02195,0,Champions
R02196,1,Dormant
R02197,0,Champions
R02198,2,At-Risk
R02199,2,At-Risk
R02200,1,Dormant
R02201,2,At-Risk
R02202,2,At-Risk
R02203,1,Dormant
R02204,1,Dormant
R02205,2,At-Risk
R02206,0,Champions
R02207,2,At-Risk
R02208,1,Dormant
R02209,2,At-Risk
R02210,2,At-Risk
R02211,0,Champions
R02212,2,At-Risk
R02213,0,Champions
R02214,0,Champions
R02215,0,Champions
R02216,2,At-Risk
R02217,2,At-Risk
R02218,0,Champions
R02219,2,At-Risk
R02220,1,Dormant
R02221,2,At-Risk
R02222,2,At-Risk
R02223,0,Champions
R02224,2,At-Risk
R02225,0,Champions
R02226,0,Champions
R02227,1,Dormant
R02228,2,At-Risk
R02229,1,Dormant
R02230,0,Champions
R02231,2,At-Risk
R02233,1,Dormant
R02234,3,Loyal Riders
R02235,2,At-Risk
R02236,1,Dormant
R02237,2,At-Risk
R02238,1,Dormant
R02239,0,Champions
R02240,2,At-Risk
R02241,0,Champions
R02242,1,Dormant
R02243,2,At-Risk
R02244,2,At-Risk
R02245,0,Champions
R02246,0,Champions
R02247,2,At-Risk
R02248,0,Champions
R02249,2,At-Risk
R02250,0,Champions
R02251,2,At-Risk
R02252,1,Dormant
R02253,2,At-Risk
R02254,0,Champions
R02255,1,Dormant
R02257,0,Champions
R02258,2,At-Risk
R02260,1,Dormant
R02261,0,Champions
R02262,2,At-Risk
R02263,2,At-Risk
R02264,0,Champions
R02265,3,Loyal Riders
R02266,1,Dormant
R02267,2,At-Risk
R02268,0,Champions
R02269,1,Dormant
R02270,2,At-Risk
R02271,2,At-Risk
R02272,2,At-Risk
R02273,0,Champions
R02275,0,Champions
R02276,2,At-Risk
R02277,0,Champions
R02278,2,At-Risk
R02279,2,At-Risk
R02280,0,Champions
R02281,2,At-Risk
R02282,2,At-Risk
R02283,0,Champions
R02284,0,Champions
R02285,1,Dormant
R02287,0,Champions
R02289,0,Champions
R02290,0,Champions
R02291,0,Champions
R02292,2,At-Risk
R02293,0,Champions
R02294,1,Dormant
R02295,2,At-Risk
R02296,2,At-Risk
R02297,0,Champions
R02298,0,Champions
R02299,3,Loyal Riders
R02300,0,Champions
R02301,2,At-Risk
R02302,2,At-Risk
R02303,0,Champions
R02304,1,Dormant
R02305,2,At-Risk
R02307,0,Champions
R02308,0,Champions
R02309,1,Dormant
R02310,0,Champions
R02311,2,At-Risk
R02312,0,Champions
R02314,0,Champions
R02315,0,Champions
R02316,1,Dormant
R02317,0,Champions
R02318,1,Dormant
R02319,0,Champions
R02320,0,Champions
R02321,0,Champions
R02322,0,Champions
R02323,2,At-Risk
R02324,0,Champions
R02325,0,Champions
R02326,3,Loyal Riders
R02327,0,Champions
R02328,2,At-Risk
R02329,2,At-Risk
R02330,3,Loyal Riders
R02331,2,At-Risk
R02332,0,Champions
R02334,0,Champions
R02335,0,Champions
R02336,2,At-Risk
R02337,2,At-Risk
R02338,0,Champions
R02339,2,At-Risk
R02340,2,At-Risk
R02342,2,At-Risk
R02343,0,Champions
R02344,2,At-Risk
R02345,2,At-Risk
R02347,0,Champions
R02348,2,At-Risk
R02349,1,Dormant
R02350,0,Champions
R02351,2,At-Risk
R02352,2,At-Risk
R02353,2,At-Risk
R02354,0,Champions
R02355,2,At-Risk
R02356,0,Champions
R02357,2,At-Risk
R02358,2,At-Risk
R02361,2,At-Risk
R02363,0,Champions
R02364,0,Champions
R02365,2,At-Risk
R02366,1,Dormant
R02367,0,Champions
R02369,2,At-Risk
R02370,0,Champions
R02371,1,Dormant
R02372,0,Champions
R02373,0,Champions
R02374,1,Dormant
R02375,1,Dormant
R02377,1,Dormant
R02378,0,Champions
R02379,0,Champions
R02382,2,At-Risk
R02383,2,At-Risk
R02384,0,Champions
R02385,0,Champions
R02386,0,Champions
R02387,2,At-Risk
R02388,2,At-Risk
R02390,0,Champions
R02391,0,Champions
R02392,2,At-Risk
R02393,0,Champions
R02394,2,At-Risk
R02395,2,At-Risk
R02396,1,Dormant
R02397,2,At-Risk
R02398,0,Champions
R02399,2,At-Risk
R02400,2,At-Risk
R02401,1,Dormant
R02403,0,Champions
R02404,2,At-Risk
R02405,2,At-Risk
R02407,1,Dormant
R02408,3,Loyal Riders
R02409,0,Champions
R02411,2,At-Risk
R02412,2,At-Risk
R02413,2,At-Risk
R02414,0,Champions
R02415,0,Champions
R02416,0,Champions
R02417,2,At-Risk
R02418,2,At-Risk
R02419,2,At-Risk
R02420,2,At-Risk
R02421,2,At-Risk
R02422,2,At-Risk
R02423,2,At-Risk
R02424,0,Champions
R02425,2,At-Risk
R02426,0,Champions
R02427,2,At-Risk
R02428,1,Dormant
R02429,2,At-Risk
R02430,1,Dormant
R02431,1,Dormant
R02432,2,At-Risk
R02434,0,Champions
R02435,3,Loyal Riders
R02436,0,Champions
R02437,0,Champions
R02438,0,Champions
R02439,2,At-Risk
R02440,3,Loyal Riders
R02441,0,Champions
R02442,2,At-Risk
R02443,0,Champions
R02444,3,Loyal Riders
R02445,2,At-Risk
R02446,2,At-Risk
R02447,2,At-Risk
R02448,2,At-Risk
R02449,0,Champions
R02450,2,At-Risk
R02451,0,Champions
R02452,1,Dormant
R02453,2,At-Risk
R02454,2,At-Risk
R02455,2,At-Risk
R02456,2,At-Risk
R02457,1,Dormant
R02458,2,At-Risk
R02459,3,Loyal Riders
R02460,1,Dormant
R02461,1,Dormant
R02462,1,Dormant
R02463,2,At-Risk
R02464,0,Champions
R02465,0,Champions
R02466,3,Loyal Riders
R02467,0,Champions
R02468,0,Champions
R02469,0,Champions
R02470,2,At-Risk
R02471,2,At-Risk
R02472,2,At-Risk
R02473,0,Champions
R02474,2,At-Risk
R02475,0,Champions
R02476,0,Champions
R02477,1,Dormant
R02479,0,Champions
R02482,0,Champions
R02483,3,Loyal Riders
R02484,2,At-Risk
R02485,2,At-Risk
R02486,0,Champions
R02487,1,Dormant
R02489,2,At-Risk
R02490,0,Champions
R02492,3,Loyal Riders
R02495,1,Dormant
R02496,2,At-Risk
R02497,0,Champions
R02498,3,Loyal Riders
R02499,0,Champions
R02500,0,Champions
R02502,2,At-Risk
R02503,2,At-Risk
R02504,0,Champions
R02505,1,Dormant
R02506,0,Champions
R02507,0,Champions
R02508,0,Champions
R02509,2,At-Risk
R02510,2,At-Risk
R02511,2,At-Risk
R02512,2,At-Risk
R02513,3,Loyal Riders
R02515,1,Dormant
R02516,0,Champions
R02517,2,At-Risk
R02518,2,At-Risk
R02519,3,Loyal Riders
R02520,3,Loyal Riders
R02521,0,Champions
R02522,2,At-Risk
R02523,1,Dormant
R02525,2,At-Risk
R02526,2,At-Risk
R02527,3,Loyal Riders
R02529,1,Dormant
R02530,0,Champions
R02531,0,Champions
R02532,2,At-Risk
R02533,0,Champions
R02534,1,Dormant
R02535,0,Champions
R02536,1,Dormant
R02537,2,At-Risk
R02539,1,Dormant
R02540,2,At-Risk
R02541,2,At-Risk
R02542,2,At-Risk
R02543,2,At-Risk
R02544,1,Dormant
R02545,0,Champions
R02546,2,At-Risk
R02547,0,Champions
R02548,2,At-Risk
R02549,1,Dormant
R02550,0,Champions
R02551,3,Loyal Riders
R02552,2,At-Risk
R02553,1,Dormant
R02554,0,Champions
R02555,1,Dormant
R02557,0,Champions
R02558,0,Champions
R02559,2,At-Risk
R02560,2,At-Risk
R02561,2,At-Risk
R02562,1,Dormant
R02563,2,At-Risk
R02564,1,Dormant
R02566,0,Champions
R02567,2,At-Risk
R02569,0,Champions
R02570,0,Champions
R02571,0,Champions
R02572,0,Champions
R02573,2,At-Risk
R02574,2,At-Risk
R02575,2,At-Risk
R02576,2,At-Risk
R02577,3,Loyal Riders
R02578,2,At-Risk
R02580,3,Loyal Riders
R02581,0,Champions
R02583,2,At-Risk
R02584,3,Loyal Riders
R02585,0,Champions
R02586,0,Champions
R02587,1,Dormant
R02588,2,At-Risk
R02589,0,Champions
R02590,0,Champions
R02591,2,At-Risk
R02592,1,Dormant
R02593,0,Champions
R02594,2,At-Risk
R02595,0,Champions
R02596,2,At-Risk
R02597,0,Champions
R02598,2,At-Risk
R02599,2,At-Risk
R02600,2,At-Risk
R02601,1,Dormant
R02602,2,At-Risk
R02603,0,Champions
R02604,3,Loyal Riders
R02605,2,At-Risk
R02606,0,Champions
R02607,1,Dormant
R02608,2,At-Risk
R02609,1,Dormant
R02610,2,At-Risk
R02611,2,At-Risk
R02612,1,Dormant
R02613,2,At-Risk
R02614,2,At-Risk
R02615,0,Champions
R02616,0,Champions
R02617,0,Champions
R02618,2,At-Risk
R02619,0,Champions
R02620,2,At-Risk
R02621,2,At-Risk
R02622,2,At-Risk
R02623,3,Loyal Riders
R02624,1,Dormant
R02625,0,Champions
R02626,2,At-Risk
R02627,1,Dormant
R02629,2,At-Risk
R02630,1,Dormant
R02631,0,Champions
R02632,2,At-Risk
R02633,0,Champions
R02634,2,At-Risk
R02635,2,At-Risk
R02636,2,At-Risk
R02637,0,Champions
R02638,2,At-Risk
R02639,0,Champions
R02640,1,Dormant
R02642,0,Champions
R02643,0,Champions
R02644,0,Champions
R02645,3,Loyal Riders
R02646,0,Champions
R02647,2,At-Risk
R02648,0,Champions
R02649,2,At-Risk
R02650,2,At-Risk
R02652,2,At-Risk
R02653,2,At-Risk
R02654,0,Champions
R02655,0,Champions
R02657,3,Loyal Riders
R02658,2,At-Risk
R02659,2,At-Risk
R02660,2,At-Risk
R02661,1,Dormant
R02662,0,Champions
R02663,0,Champions
R02664,3,Loyal Riders
R02666,2,At-Risk
R02667,2,At-Risk
R02668,2,At-Risk
R02669,2,At-Risk
R02670,2,At-Risk
R02671,0,Champions
R02672,1,Dormant
R02673,2,At-Risk
R02674,3,Loyal Riders
R02676,2,At-Risk
R02677,2,At-Risk
R02678,0,Champions
R02679,0,Champions
R02680,2,At-Risk
R02681,1,Dormant
R02682,1,Dormant
R02683,2,At-Risk
R02684,2,At-Risk
R02685,2,At-Risk
R02686,3,Loyal Riders
R02687,2,At-Risk
R02688,0,Champions
R02689,2,At-Risk
R02690,0,Champions
R02691,0,Champions
R02692,3,Loyal Riders
R02693,1,Dormant
R02694,1,Dormant
R02695,2,At-Risk
R02696,2,At-Risk
R02697,2,At-Risk
R02698,2,At-Risk
R02700,2,At-Risk
R02701,2,At-Risk
R02702,1,Dormant
R02703,1,Dormant
